method,seed,auroc,auprc,f1,wall_time,n_samples,n_taxa
AdaCoNet,0,0.738,0.313,0.343,0.8,280,553
SparCC,0,0.725,0.289,0.328,219.5,280,553
Spearman CLR,0,0.509,0.093,0.148,0.05,280,553
Graphical Lasso,0,0.5,0.08,0.148,95.5,280,553
SPIEC-EASI,0,0.5,0.0,0.0,29.8,280,553
Proportionality,0,0.517,0.092,0.148,0.03,280,553
AdaCoNet,1,0.724,0.299,0.333,0.6,280,553
SparCC,1,0.711,0.27,0.31,304.1,280,553
Spearman CLR,1,0.512,0.095,0.149,0.05,280,553
Graphical Lasso,1,0.5,0.08,0.148,96.5,280,553
SPIEC-EASI,1,0.5,0.0,0.0,31.2,280,553
Proportionality,1,0.528,0.093,0.148,0.03,280,553
AdaCoNet,2,0.752,0.344,0.367,0.6,280,553
SparCC,2,0.722,0.287,0.326,296.4,280,553
Spearman CLR,2,0.504,0.105,0.152,0.05,280,553
Graphical Lasso,2,0.5,0.08,0.148,88.9,280,553
SPIEC-EASI,2,0.5,0.0,0.0,27.3,280,553
Proportionality,2,0.531,0.094,0.149,0.03,280,553
