n_edges,density,max_degree,mean_degree,max_cc,n_components,modularity,method,wall_time_sec,dataset
5917,0.04999957749216248,99,24.299794661190965,181,179,0.510039705075751,AdaCoNet,0.4371903330002169,"enterotype (N=280, P=550)"
7548,0.04999503229011426,111,27.44727272727273,210,255,0.49780598657199615,Spearman CLR,0.015027207999992243,"enterotype (N=280, P=550)"
12797,0.08476237787713198,170,46.53454545454545,337,214,0.09023745986804689,SparCC,119.96954558300013,"enterotype (N=280, P=550)"
150975,1.0,549,549.0,550,1,1.1729132136294914e-17,Graphical Lasso,91.73913670899992,"enterotype (N=280, P=550)"
150975,1.0,549,549.0,550,1,1.1729132136294914e-17,SPIEC-EASI,19.773871291999967,"enterotype (N=280, P=550)"
7548,0.04999503229011426,134,27.44727272727273,215,319,0.2637057648221472,Proportionality,0.0021501659998648393,"enterotype (N=280, P=550)"
21413,0.04999824878874555,220,46.248380129589634,346,482,0.16273454885770997,AdaCoNet,3.117410624999593,"moving_pictures (N=1967, P=926)"
21413,0.04999824878874555,213,46.248380129589634,234,589,0.07676073533560808,Spearman CLR,0.1072546670002339,"moving_pictures (N=1967, P=926)"
21413,0.04999824878874555,223,46.248380129589634,369,338,0.382006994604376,SparCC,180.2233122499997,"moving_pictures (N=1967, P=926)"
428275,1.0,925,925.0,926,1,-4.920988541581775e-17,Graphical Lasso,185.47884008400024,"moving_pictures (N=1967, P=926)"
21413,0.04999824878874555,125,46.248380129589634,925,2,0.4145264224900791,SPIEC-EASI,161.36783724999987,"moving_pictures (N=1967, P=926)"
21413,0.04999824878874555,214,46.248380129589634,260,441,0.43791092857976904,Proportionality,0.013926749999882304,"moving_pictures (N=1967, P=926)"
